Name,Revenue,Year,Universe
Avengers: Endgame,2797800564,2019,Marvel
Avengers: Infinity War,2048359754,2018,Marvel
Spider-Man: No Way Home,1921847111,2021,Marvel
The Avengers,1518812988,2012,Marvel
Avengers: Age of Ultron,1402809540,2015,Marvel
Black Panther,1346913171,2018,Marvel
Incredibles 2,1242805359,2018,Pixar
Iron Man 3,1215577205,2013,Marvel
Captain America: Civil War,1153304495,2016,Marvel
Aquaman,1148161807,2018,DC
Spider-Man: Far From Home,1131927996,2019,Marvel
Captain Marvel,1131416446,2019,Marvel
The Dark Knight Rises,1081041287,2012,DC
Joker,1074251311,2019,DC
The Dark Knight,1006222205,2008,DC
Doctor Strange in the Multiverse of Madness,955775804,2022,Marvel
Spider-Man 3,890871626,2007,Marvel
Spider-Man: Homecoming,880166924,2017,Marvel
Batman v Superman: Dawn of Justice,873634919,2016,DC
Guardians of the Galaxy Vol. 2,863756051,2017,Marvel
Black Panther: Wakanda Forever,859208836,2022,Marvel
Venom,856085151,2018,Marvel
Thor: Ragnarok,853983879,2017,Marvel
Guardians of the Galaxy Vol. 3,845555777,2023,Marvel
Wonder Woman,821847012,2017,DC
Spider-Man,821708551,2002,Marvel
Spider-Man 2,788976453,2004,Marvel
Deadpool 2,785046920,2018,Marvel
Deadpool,783112979,2016,Marvel
Guardians of the Galaxy,773328629,2014,Marvel
The Batman,770836163,2022,DC
Thor: Love and Thunder,760928081,2022,Marvel
The Amazing Spider-Man,757930663,2012,Marvel
Suicide Squad,746846894,2016,DC
X-Men: Days of Future Past,746045700,2014,Marvel
The Matrix Reloaded,741847937,2003,The Wachowskis
Captain America: The Winter Soldier,714421503,2014,Marvel
The Amazing Spider-Man 2,708982323,2014,Marvel
Spider-Man: Across the Spider-Verse,690516673,2023,Marvel
Doctor Strange,677718395,2016,Marvel
Man of Steel,668045518,2013,DC
Justice League,657924295,2017,DC
Big Hero 6,657818612,2014,Marvel
Thor: The Dark World,644571402,2013,Marvel
The Incredibles,631607053,2004,Pixar
Hancock,624386746,2008,Vincent Ngo
Iron Man 2,623933331,2010,Marvel
Ant-Man and the Wasp,622674139,2018,Marvel
Logan,619021436,2017,Marvel
Iron Man,585796247,2008,Marvel
